variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
prob09emb,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/prob09emb,EMB09 selection prob
bb_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bb_mortbh_tw,BHPS second mortality weight adjustment
bc_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bc_mortbh_tw,BHPS second mortality weight adjustment
bd_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bd_mortbh_tw,BHPS second mortality weight adjustment
be_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/be_mortbh_tw,BHPS second mortality weight adjustment
bf_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bf_mortbh_tw,BHPS second mortality weight adjustment
bg_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bg_mortbh_tw,BHPS second mortality weight adjustment
bh_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bh_mortbh_tw,BHPS second mortality weight adjustment
bi_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bi_mortbh_tw,BHPS second mortality weight adjustment
bj_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bj_mortbh_tw,BHPS second mortality weight adjustment
bk_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bk_mortbh_tw,BHPS second mortality weight adjustment
bl_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bl_mortbh_tw,BHPS second mortality weight adjustment
bm_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bm_mortbh_tw,BHPS second mortality weight adjustment
bn_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bn_mortbh_tw,BHPS second mortality weight adjustment
bo_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bo_mortbh_tw,BHPS second mortality weight adjustment
bp_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bp_mortbh_tw,BHPS second mortality weight adjustment
bq_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bq_mortbh_tw,BHPS second mortality weight adjustment
br_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/br_mortbh_tw,BHPS second mortality weight adjustment
b_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/b_mortbh_tw,BHPS second mortality weight adjustment
c_mortbh_tw,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/c_mortbh_tw,BHPS second mortality weight adjustment
